New Mexico, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,53.4,2.0
199104,51.6,0.2
199204,54.6,3.2
199304,52.2,0.8
199404,52.2,0.8
199504,49.5,-1.9
199604,53.2,1.8
199704,48.5,-2.9
199804,48.3,-3.1
199904,50.3,-1.1
200004,55.5,4.1
200104,54.2,2.8
200204,57.3,5.9
200304,52.9,1.5
200404,51.4,0.0
200504,51.7,0.3
200604,56.2,4.8
200704,51.6,0.2
200804,51.6,0.2
200904,51.7,0.3
201004,52.7,1.3
201104,55.6,4.2
201204,56.6,5.2
201304,52.6,1.2
