Delaware, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,74.2,0.5
199108,75.7,2.0
199208,71.4,-2.3
199308,75.5,1.8
199408,72.2,-1.5
199508,76.4,2.7
199608,73.2,-0.5
199708,73.6,-0.1
199808,75.2,1.5
199908,76.2,2.5
200008,73.1,-0.6
200108,76.7,3.0
200208,78.0,4.3
200308,76.5,2.8
200408,74.0,0.3
200508,77.9,4.2
200608,77.1,3.4
200708,76.6,2.9
200808,73.4,-0.3
200908,77.2,3.5
201008,77.0,3.3
201108,75.5,1.8
201208,76.8,3.1
201308,73.4,-0.3
