Connecticut, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,47.2,1.2
199104,50.6,4.6
199204,44.3,-1.7
199304,47.4,1.4
199404,48.9,2.9
199504,45.3,-0.7
199604,46.5,0.5
199704,45.2,-0.8
199804,48.6,2.6
199904,47.9,1.9
200004,46.1,0.1
200104,47.9,1.9
200204,50.1,4.1
200304,44.5,-1.5
200404,48.0,2.0
200504,49.3,3.3
200604,49.0,3.0
200704,44.8,-1.2
200804,49.6,3.6
200904,49.3,3.3
201004,52.0,6.0
201104,48.9,2.9
201204,49.7,3.7
201304,47.3,1.3
