Colorado, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,66.0,-1.1
199107,66.5,-0.6
199207,64.4,-2.7
199307,66.0,-1.1
199407,67.5,0.4
199507,65.5,-1.6
199607,68.1,1.0
199707,67.2,0.1
199807,69.0,1.9
199907,68.3,1.2
200007,69.8,2.7
200107,70.2,3.1
200207,71.0,3.9
200307,72.4,5.3
200407,65.9,-1.2
200507,70.0,2.9
200607,69.6,2.5
200707,69.7,2.6
200807,69.2,2.1
200907,66.9,-0.2
201007,68.6,1.5
201107,70.0,2.9
201207,70.6,3.5
201307,68.5,1.4
