Michigan, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,65.9,0.0
199108,68.1,2.2
199208,62.3,-3.6
199308,68.3,2.4
199408,63.7,-2.2
199508,71.4,5.5
199608,67.4,1.5
199708,63.1,-2.8
199808,69.0,3.1
199908,65.3,-0.6
200008,66.1,0.2
200108,69.6,3.7
200208,68.0,2.1
200308,68.8,2.9
200408,63.2,-2.7
200508,68.9,3.0
200608,67.7,1.8
200708,68.8,2.9
200808,66.5,0.6
200908,65.4,-0.5
201008,70.7,4.8
201108,68.3,2.4
201208,67.5,1.6
201308,66.6,0.7
