Kansas, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,52.7,-0.8
199104,55.8,2.3
199204,54.6,1.1
199304,50.0,-3.5
199404,53.4,-0.1
199504,50.4,-3.1
199604,53.5,0.0
199704,48.6,-4.9
199804,51.9,-1.6
199904,53.5,0.0
200004,53.8,0.3
200104,58.3,4.8
200204,56.4,2.9
200304,56.1,2.6
200404,54.9,1.4
200504,55.0,1.5
200604,59.6,6.1
200704,50.9,-2.6
200804,50.5,-3.0
200904,52.1,-1.4
201004,57.8,4.3
201104,55.2,1.7
201204,59.2,5.7
201304,48.4,-5.1
