New Hampshire, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,42.5,1.8
199104,45.0,4.3
199204,39.1,-1.6
199304,42.8,2.1
199404,41.9,1.2
199504,38.0,-2.7
199604,41.0,0.3
199704,38.9,-1.8
199804,43.8,3.1
199904,42.4,1.7
200004,41.3,0.6
200104,40.8,0.1
200204,44.0,3.3
200304,38.7,-2.0
200404,42.4,1.7
200504,44.0,3.3
200604,44.1,3.4
200704,39.2,-1.5
200804,44.0,3.3
200904,44.4,3.7
201004,46.7,6.0
201104,42.4,1.7
201204,44.2,3.5
201304,42.0,1.3
