Florida, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,81.8,0.8
199107,81.7,0.7
199207,82.6,1.6
199307,82.5,1.5
199407,80.6,-0.4
199507,82.2,1.2
199607,82.2,1.2
199707,81.9,0.9
199807,83.6,2.6
199907,82.2,1.2
200007,82.3,1.3
200107,81.3,0.3
200207,81.5,0.5
200307,81.4,0.4
200407,81.8,0.8
200507,83.3,2.3
200607,82.0,1.0
200707,82.4,1.4
200807,81.2,0.2
200907,81.7,0.7
201007,83.4,2.4
201107,82.6,1.6
201207,82.4,1.4
201307,80.8,-0.2
